study_hours,attendance,previous_score,assignment_score,internal_marks,sleep_hours,participation,parental_support,extracurricular,final_score
1.0,85.3,60.6,54.4,17.5,8.1,6,1,1,61.8
9.4,86.2,49.5,46.5,11.5,7.8,3,2,0,69.7
3.0,77.9,73.7,65.3,19.4,7.4,4,1,1,73.8
5.1,96.8,77.3,70.7,19.7,6.9,7,1,1,85.9
4.4,86.7,49.1,44.5,10.1,6.3,4,1,0,55.3
4.5,81.0,61.6,46.9,16.4,5.8,9,3,1,67.6
4.9,83.6,49.1,31.9,10.8,7.2,3,2,0,56.4
1.3,87.5,55.4,53.7,9.3,5.5,5,2,1,53.7
4.5,93.3,75.7,62.8,16.0,5.7,7,2,1,82.0
3.7,93.0,57.7,64.3,14.4,8.1,6,2,1,70.0
3.0,94.4,63.8,61.3,13.7,8.9,5,3,1,63.6
2.6,98.6,45.2,62.1,10.7,7.2,5,1,0,56.1
4.6,92.0,70.6,55.2,18.2,8.0,5,2,0,75.3
2.2,97.1,67.4,70.0,15.5,6.5,6,3,1,75.9
7.0,84.8,57.8,48.5,12.1,5.3,9,2,0,64.2
5.3,85.6,65.4,62.6,16.4,7.5,6,1,1,75.4
4.7,87.2,70.5,47.5,16.3,7.4,8,1,0,74.3
6.8,92.1,56.6,56.4,8.5,6.9,7,1,1,66.2
1.2,79.1,47.3,30.3,12.4,6.5,7,3,0,50.1
1.8,93.0,93.3,69.1,20.7,7.9,3,2,1,78.9
5.4,83.8,59.1,56.5,13.9,5.7,6,3,0,67.9
2.7,85.0,66.6,52.6,16.9,5.9,8,3,0,69.1
2.9,82.8,82.2,54.7,16.6,5.7,6,2,1,70.6
1.6,81.6,100.0,77.5,21.8,6.9,10,1,0,88.9
2.2,85.0,50.6,48.7,9.1,5.6,8,1,1,51.1
7.1,89.2,74.3,57.6,17.5,6.0,6,2,1,81.1
5.4,65.1,58.1,47.0,17.6,6.0,4,2,0,71.9
4.6,88.1,60.5,76.1,12.1,6.5,5,2,1,74.4
2.9,95.6,57.9,65.4,12.0,5.2,6,2,1,59.0
4.4,81.9,52.2,58.6,11.2,6.9,4,3,1,60.5
7.4,95.1,67.4,63.8,15.8,8.2,7,2,1,84.9
2.7,91.3,47.4,51.4,9.5,6.9,4,2,1,55.6
4.0,95.5,81.3,47.5,18.7,8.5,8,3,0,75.8
9.7,80.3,68.8,50.8,17.6,8.3,7,1,0,88.0
6.0,87.9,73.9,57.1,17.7,7.7,4,1,1,81.0
2.9,73.9,61.5,36.0,10.7,6.9,8,1,1,57.3
5.7,82.7,62.9,45.1,16.6,6.8,7,1,0,75.5
1.4,94.0,72.0,46.2,17.9,7.6,8,2,1,71.5
3.9,72.3,51.7,45.7,14.2,6.4,4,2,1,60.6
5.7,89.1,63.0,63.0,15.4,4.7,7,2,0,79.2
5.1,77.0,56.0,58.3,13.8,7.3,7,3,0,72.5
5.7,71.7,55.5,50.9,15.3,5.6,5,1,0,62.1
6.4,93.4,38.5,39.0,14.1,5.7,9,2,0,68.2
5.3,90.9,86.8,52.2,17.0,6.8,7,1,0,78.2
5.2,73.9,58.4,35.5,15.9,6.7,7,2,0,67.0
4.6,77.6,84.3,52.2,18.2,5.2,7,2,1,79.4
2.1,89.9,83.0,58.6,17.8,7.0,8,3,1,73.5
7.1,93.0,50.0,50.5,9.3,7.9,4,2,0,64.3
4.0,78.5,52.8,40.4,12.1,5.6,6,1,0,57.0
5.9,92.5,100.0,76.8,19.3,8.2,7,2,1,94.5
6.7,90.4,92.5,68.2,19.1,5.1,6,1,1,90.9
3.0,85.7,67.6,57.5,13.1,9.1,9,1,1,70.6
3.2,95.0,71.6,71.3,15.2,6.3,7,2,1,76.1
3.4,79.4,59.2,42.2,13.0,7.0,4,1,1,58.7
7.8,84.6,74.1,63.3,16.9,4.7,6,2,0,86.9
2.4,83.4,58.0,52.3,10.3,6.7,4,2,1,58.0
8.5,87.5,39.5,42.7,8.0,7.1,8,2,1,65.8
4.6,84.2,49.5,55.9,12.9,6.7,5,1,1,59.7
4.8,74.8,68.3,61.3,13.9,6.2,7,3,1,75.2
6.5,88.7,52.2,43.9,14.9,5.8,8,2,0,71.8
4.3,97.5,67.1,59.5,15.7,8.0,6,3,0,79.5
7.1,89.5,53.0,54.3,14.1,6.8,7,2,1,74.6
3.0,91.1,57.0,52.2,16.2,8.5,5,2,1,60.4
8.3,87.9,79.9,68.3,17.2,6.2,10,2,1,88.0
3.2,96.3,71.5,64.8,14.9,6.3,8,2,1,77.8
8.5,96.8,67.9,75.7,17.4,7.7,7,1,0,87.6
3.2,87.8,80.3,51.5,18.6,5.0,6,2,0,74.9
3.5,86.6,74.7,59.9,16.2,5.5,6,3,1,74.9
2.2,89.5,88.3,60.7,21.8,8.0,7,2,0,80.9
2.6,76.5,61.6,56.7,13.8,5.5,9,1,1,63.3
4.0,79.7,62.0,40.1,14.4,4.8,4,2,0,57.0
4.7,94.9,49.8,55.1,12.2,8.9,6,3,1,67.2
6.8,89.5,62.0,51.1,12.6,5.3,6,2,1,70.2
3.6,82.4,81.5,56.8,18.0,7.0,6,1,1,74.4
2.0,87.7,86.2,54.8,21.4,6.9,7,3,0,78.5
5.1,77.5,81.4,57.3,18.8,4.0,6,2,1,76.7
4.5,86.4,42.9,55.2,11.0,6.5,7,2,1,64.6
5.4,77.9,83.2,61.8,17.9,7.3,7,2,1,82.1
2.8,87.9,42.3,51.7,11.4,7.2,6,3,0,60.0
3.0,86.8,80.6,76.9,19.2,7.8,2,3,0,83.6
2.8,94.1,62.9,60.1,15.7,6.4,7,3,0,73.7
7.5,94.2,77.8,60.2,16.7,7.6,5,1,0,85.3
8.4,95.4,49.3,56.0,12.9,6.0,7,3,1,78.9
2.9,83.3,84.4,59.9,19.3,5.2,9,1,1,81.0
3.0,91.9,47.5,46.3,9.7,5.4,5,2,0,53.7
5.8,89.5,58.6,42.4,14.2,5.2,6,2,0,70.5
8.8,88.1,54.0,59.5,8.8,7.9,5,2,0,73.2
9.8,79.3,43.4,41.4,12.3,5.1,7,2,1,69.1
2.9,85.3,69.3,59.5,16.9,7.1,6,2,1,74.5
3.3,92.3,93.3,62.8,21.5,6.5,10,3,1,91.0
4.8,98.9,100.0,79.6,20.4,6.7,9,1,0,95.3
4.9,86.9,69.4,52.5,16.4,8.3,7,2,1,73.9
3.7,94.6,83.6,66.3,21.1,6.3,7,3,0,86.8
2.5,90.5,71.2,67.6,18.8,7.5,8,1,0,78.6
4.0,90.3,75.0,68.5,16.6,6.8,4,2,1,79.6
9.8,82.2,63.2,54.2,15.1,6.6,6,2,1,83.9
3.0,82.3,70.7,43.6,18.1,9.3,6,2,0,70.4
4.7,86.3,75.5,85.1,13.8,5.2,8,2,0,83.5
10.0,88.6,59.9,68.8,13.6,8.2,6,1,0,82.3
3.0,79.1,66.9,60.8,17.9,7.5,4,3,0,66.5
5.9,81.6,67.2,49.9,17.3,6.3,6,1,1,78.8
10.0,98.7,79.6,66.0,18.6,8.6,6,2,1,95.5
5.6,96.3,53.1,49.9,9.8,4.8,4,1,0,57.8
7.3,69.6,67.3,62.3,15.4,6.2,7,2,0,71.8
6.3,76.4,94.8,68.8,19.2,5.5,8,2,0,91.6
5.4,80.2,84.3,56.9,19.1,7.3,7,3,1,79.5
8.2,90.7,86.9,63.9,17.4,5.6,9,2,1,91.1
5.8,84.4,68.3,66.3,13.5,7.3,5,2,1,77.0
3.7,79.2,72.5,70.4,12.1,6.6,4,3,0,71.3
4.5,80.6,82.0,74.5,20.4,6.3,6,2,1,83.2
5.0,81.8,89.8,72.2,18.6,7.2,6,2,1,86.0
3.3,91.8,40.7,45.2,10.8,6.5,5,2,1,52.3
4.6,86.6,49.6,30.0,12.2,5.6,6,2,1,56.4
4.2,70.2,86.3,63.3,16.6,9.5,5,3,1,78.5
5.8,86.9,64.1,56.2,12.3,6.3,4,1,1,67.2
10.0,88.0,58.6,55.2,12.0,4.4,5,2,0,74.8
4.7,99.5,50.4,54.5,10.9,5.9,5,2,0,58.8
9.0,91.2,60.2,45.2,15.0,5.4,7,3,0,83.2
5.7,82.9,48.4,52.4,10.4,7.7,5,3,1,65.4
4.6,93.3,97.3,78.2,24.2,7.2,9,2,1,100.0
3.2,84.5,67.7,62.5,17.4,7.2,9,2,0,78.5
4.6,88.2,67.2,65.6,16.9,6.4,7,2,1,75.1
4.4,89.7,76.2,67.4,16.7,6.5,4,2,1,76.7
2.7,88.6,81.5,61.3,20.8,6.4,9,3,1,77.4
3.0,89.1,81.2,64.0,17.3,6.7,9,3,1,90.9
5.1,72.5,83.0,60.9,18.1,7.7,6,3,1,80.8
8.9,81.9,59.2,53.3,14.4,7.2,8,1,0,81.2
4.0,89.6,63.8,64.9,16.1,7.4,6,3,0,70.0
1.6,72.8,78.8,63.5,18.5,7.3,3,3,1,73.5
1.0,65.0,60.6,64.4,13.0,7.8,4,2,0,61.1
2.2,80.0,67.9,73.4,14.3,7.1,9,2,0,70.0
6.0,95.1,73.6,63.7,17.8,7.2,5,3,1,81.1
1.8,84.6,79.0,31.5,18.7,8.1,7,2,1,67.7
6.5,77.7,43.1,53.8,10.3,6.1,5,3,1,56.3
5.8,95.9,78.0,61.0,14.2,5.9,6,2,0,79.0
3.9,72.6,64.7,45.6,14.4,5.5,5,2,1,65.7
2.7,92.5,77.9,61.0,18.4,7.0,7,3,0,77.7
3.6,84.9,78.9,58.7,21.0,4.8,6,2,0,76.5
5.0,70.2,90.5,67.7,17.1,7.3,4,3,1,83.2
1.8,88.4,86.9,54.5,17.9,6.7,7,2,0,76.2
8.4,84.6,86.9,57.1,18.3,8.0,8,2,0,85.9
5.0,85.1,88.2,69.2,21.8,6.1,8,1,1,90.1
5.3,89.6,72.1,65.7,16.2,6.6,5,2,0,85.5
5.8,86.5,68.5,63.2,13.8,8.0,5,2,1,70.9
8.0,92.1,80.2,58.8,19.0,8.3,7,3,1,92.0
4.6,84.7,78.2,54.0,16.5,6.1,9,2,1,85.0
6.0,98.2,63.7,55.5,12.3,7.0,8,2,0,78.0
2.7,83.8,73.7,61.5,14.6,7.1,7,1,1,67.9
9.8,93.2,67.5,71.6,19.1,7.2,8,2,0,95.4
4.4,92.7,56.0,38.0,14.1,6.5,7,3,1,67.0
2.7,84.3,86.1,63.5,18.8,8.2,7,2,0,76.0
3.2,79.5,68.8,45.3,15.0,4.7,7,2,0,63.5
1.1,94.8,96.7,60.2,21.0,6.3,7,2,1,81.2
3.2,93.2,45.2,57.4,11.9,7.3,4,1,0,57.6
1.0,85.6,60.2,58.4,14.5,7.3,7,2,0,59.1
6.2,94.5,68.5,64.2,15.9,8.3,9,2,0,78.2
5.2,92.3,83.9,74.2,20.1,8.1,5,2,1,88.3
2.3,83.0,73.6,55.4,16.4,6.5,8,3,0,76.8
4.0,86.8,72.3,56.4,14.3,8.2,9,3,1,75.7
4.1,87.5,52.2,68.5,11.4,6.0,6,3,0,65.2
2.0,80.0,51.8,46.5,8.5,7.8,4,3,1,53.5
3.6,87.9,72.5,66.2,20.3,8.8,7,3,1,81.3
4.2,95.3,48.9,52.1,13.7,8.1,5,2,0,69.8
3.6,92.6,60.6,41.7,12.4,6.9,6,1,1,62.1
2.7,99.8,75.0,48.8,16.1,6.4,8,2,0,74.9
2.2,91.0,54.2,48.4,11.6,5.1,4,3,0,53.3
3.5,98.5,90.5,80.2,22.6,7.1,5,1,0,90.8
2.9,83.9,85.1,71.0,15.6,5.6,7,1,1,76.8
5.6,95.1,46.0,58.0,11.8,5.9,6,1,1,65.8
8.3,98.0,54.9,47.7,13.1,5.5,7,2,1,74.5
6.6,78.6,36.0,53.9,11.5,6.3,8,2,0,61.3
4.3,90.9,57.0,46.6,13.3,6.8,6,2,1,66.6
2.8,67.1,78.7,58.3,13.8,7.1,7,1,1,68.7
6.6,91.5,62.2,56.7,14.0,6.1,5,2,1,74.6
5.8,92.6,74.5,61.3,14.8,8.0,8,2,1,81.9
8.0,79.4,46.7,56.7,12.0,6.6,5,2,0,68.5
4.6,80.3,79.2,55.3,20.4,5.9,6,2,0,79.6
9.6,87.1,60.2,43.7,10.8,7.0,6,2,1,74.6
4.6,91.7,68.2,59.7,13.9,9.0,8,2,0,73.9
2.8,77.1,66.7,51.1,14.0,7.2,4,2,0,70.1
3.1,84.5,50.2,76.2,11.4,6.4,2,2,0,61.0
5.4,78.7,51.9,53.6,14.1,5.1,5,3,0,67.3
2.9,98.0,81.5,64.3,17.5,6.6,8,1,1,80.8
9.5,88.1,73.6,52.4,17.6,7.1,7,1,0,86.1
5.2,80.6,82.7,47.6,16.9,6.4,8,3,0,83.3
4.2,93.6,72.5,53.9,16.7,5.0,8,2,1,74.8
4.4,84.9,70.0,59.2,17.4,5.9,5,1,1,77.0
3.5,96.1,43.8,61.4,9.6,8.4,3,1,1,55.6
1.3,77.2,64.2,62.2,16.2,8.4,5,3,0,61.0
3.1,90.0,67.6,60.6,15.4,5.8,8,3,1,74.7
8.9,92.4,95.3,69.4,22.7,7.5,7,2,1,100.0
4.7,93.9,77.6,66.6,16.8,5.5,7,2,1,83.0
7.0,90.1,89.5,64.5,20.2,8.3,8,1,1,89.3
7.2,83.3,76.4,74.4,17.0,7.1,5,2,1,85.1
4.0,90.2,58.0,53.0,13.4,7.8,7,1,1,61.7
5.8,76.4,69.6,54.7,16.3,4.9,8,2,1,84.3
1.4,88.5,71.3,42.2,17.0,7.5,6,1,0,57.9
8.6,86.4,54.9,50.4,10.8,6.8,4,2,0,70.2
8.2,78.1,62.6,59.5,17.5,7.7,6,2,1,85.5
5.4,98.1,65.1,51.7,11.3,7.8,4,2,1,72.6
4.7,70.6,90.5,57.0,18.2,6.9,7,1,0,81.4
4.1,91.5,38.9,52.7,10.0,6.1,6,2,1,57.0
7.5,97.0,84.9,56.9,19.5,7.7,10,3,1,100.0
6.2,85.1,54.9,60.0,16.3,6.7,6,2,1,77.8
1.0,86.4,48.8,44.9,8.1,5.8,6,2,1,49.0
3.3,88.4,84.5,62.8,17.4,5.8,6,2,0,78.1
2.0,94.3,78.2,55.9,12.9,5.2,7,2,1,67.0
1.8,97.6,85.6,72.3,18.6,6.2,5,2,1,76.7
7.4,77.1,79.2,79.6,18.2,8.0,6,3,1,94.7
4.0,99.3,96.8,81.1,23.8,7.0,7,1,0,99.6
5.3,92.6,75.8,56.4,17.2,6.2,7,1,1,76.9
4.3,92.6,65.8,67.9,17.1,7.7,6,2,0,75.9
1.8,85.2,72.8,57.1,17.4,5.9,7,3,0,70.3
1.5,87.8,85.4,77.1,17.6,6.9,6,3,1,78.9
3.2,92.6,57.1,61.3,10.6,6.6,6,2,1,63.9
3.4,73.7,58.9,30.0,14.3,7.7,6,2,1,61.5
3.4,87.9,63.7,48.3,11.7,5.1,6,2,0,58.8
3.4,92.0,38.5,53.9,12.7,5.9,7,2,1,57.5
10.0,87.2,69.9,60.1,15.8,5.0,6,2,1,90.5
7.0,96.1,41.6,40.8,13.2,6.5,6,3,1,67.2
4.7,70.3,68.7,48.0,14.6,8.1,5,2,0,62.1
4.0,81.4,80.1,46.4,18.2,6.2,5,2,1,72.8
4.0,63.1,61.3,46.8,14.7,6.2,4,2,1,60.1
6.1,88.8,91.5,86.8,19.7,7.8,10,2,0,100.0
3.9,96.8,47.6,58.4,10.9,8.0,5,2,0,64.3
6.6,81.8,84.7,81.4,19.4,6.7,6,2,1,95.4
5.0,92.3,77.5,71.0,15.3,7.6,6,1,1,82.4
10.0,85.8,44.0,55.0,9.0,5.6,5,1,1,72.4
3.8,98.6,100.0,91.9,23.7,8.3,7,2,1,98.0
7.2,80.4,67.1,58.5,16.9,9.2,6,3,0,79.8
2.1,85.4,55.7,50.5,13.3,7.4,3,2,0,53.4
2.8,79.4,48.3,55.0,15.2,4.5,7,2,0,58.4
10.0,97.2,64.9,71.5,14.6,6.2,8,2,0,92.4
6.5,81.8,66.2,51.7,17.9,7.5,4,1,1,75.8
5.4,95.5,69.4,55.5,16.1,6.3,3,3,0,79.7
10.0,74.6,63.8,53.3,12.9,8.2,4,3,1,75.4
4.0,87.2,76.9,68.7,20.7,7.4,6,1,1,83.3
7.2,86.7,62.6,61.9,16.6,6.0,10,2,1,79.7
7.5,92.6,40.9,36.2,10.5,6.8,7,2,1,64.9
9.2,96.5,65.9,75.3,16.8,5.8,4,3,0,91.8
2.0,89.2,34.9,38.7,8.6,6.6,4,2,1,44.5
4.0,75.7,73.0,54.6,18.0,6.2,6,1,0,73.2
4.9,82.2,54.3,43.1,8.2,8.1,6,2,0,54.4
9.1,75.8,70.3,77.1,14.1,9.1,4,3,1,80.1
5.3,97.4,86.4,71.5,20.8,5.2,7,1,0,90.4
7.5,94.4,54.7,47.5,12.7,4.7,5,2,1,75.8
1.9,84.1,82.9,70.7,18.4,6.5,5,1,1,71.7
3.5,88.5,61.9,61.9,11.6,5.1,7,3,1,70.8
8.2,90.6,92.5,68.7,23.8,6.9,8,1,0,100.0
3.7,92.7,62.9,64.2,16.9,7.6,8,3,1,72.6
4.2,93.6,56.2,48.2,12.9,8.4,7,2,0,61.8
9.0,94.6,77.6,60.8,16.6,7.0,6,2,1,90.2
2.5,76.7,61.9,35.9,16.3,6.6,7,3,0,60.9
2.8,84.3,56.2,41.3,17.2,4.6,6,3,1,58.7
1.8,91.7,61.3,70.9,16.0,6.8,7,2,0,63.8
9.2,94.8,67.4,73.3,19.9,6.9,6,1,0,89.3
6.9,94.0,86.8,69.2,17.1,7.5,7,2,1,91.4
6.8,80.9,40.9,57.2,9.1,6.0,5,2,0,61.3
3.4,84.8,68.3,56.2,13.1,6.3,10,2,1,69.1
1.7,85.1,76.7,59.4,17.8,5.2,7,2,0,71.0
1.4,90.9,70.7,60.9,16.1,4.3,6,1,0,67.4
8.2,95.7,86.3,68.0,18.6,5.6,6,2,1,95.4
5.6,80.1,67.0,53.7,17.0,5.1,5,2,0,71.8
6.1,67.6,65.4,59.9,17.5,7.2,9,1,0,78.9
4.8,93.8,76.3,65.1,13.9,6.2,6,2,1,74.5
2.6,96.7,69.4,67.4,14.4,6.2,8,2,0,71.8
3.5,92.1,62.5,65.4,16.1,5.7,6,2,0,70.7
2.2,88.0,75.2,64.7,15.7,4.0,7,1,0,63.5
2.1,86.7,58.9,46.1,12.1,8.5,7,2,1,58.2
6.6,87.8,59.4,43.6,16.1,5.7,5,2,1,65.9
1.4,89.4,60.6,56.6,11.4,6.3,5,2,0,63.9
2.2,85.3,86.9,64.6,18.1,5.2,9,3,1,76.7
3.6,94.0,30.0,43.8,9.2,7.9,7,2,0,56.8
4.4,77.9,73.5,57.5,15.3,7.0,7,1,1,72.6
1.7,79.0,68.5,76.4,17.0,5.9,7,2,0,72.6
1.4,93.0,44.5,38.7,9.9,6.4,7,3,1,50.6
5.2,96.3,72.3,46.9,19.1,8.6,10,1,1,82.3
4.7,89.6,74.7,64.5,16.4,6.7,7,3,1,82.8
8.1,89.2,76.3,59.4,18.5,6.6,8,2,1,92.2
4.4,63.1,30.9,36.3,10.3,5.8,2,3,0,47.3
5.5,85.4,87.1,70.8,17.7,4.7,6,2,0,82.1
2.7,86.9,57.7,63.6,9.4,6.6,4,2,0,56.7
2.8,93.6,77.6,52.3,17.8,7.2,9,3,0,72.1
1.9,94.2,78.4,60.5,17.4,8.0,3,2,0,72.4
2.7,95.9,55.7,58.7,14.3,4.3,6,1,0,64.9
3.5,91.1,77.2,69.6,16.6,5.6,2,2,1,79.6
7.7,93.9,62.6,75.3,13.8,6.2,5,1,0,80.8
2.5,75.6,39.0,49.0,14.2,6.8,4,3,0,51.3
10.0,81.6,84.3,63.2,15.7,6.6,9,2,0,87.6
5.8,81.9,57.1,44.4,15.0,6.7,6,3,1,73.7
5.2,74.8,56.0,44.2,12.2,7.2,4,3,0,55.8
4.2,93.9,62.4,52.9,13.8,5.8,8,1,1,68.5
3.8,89.5,71.8,65.7,15.5,7.8,7,2,1,75.1
3.0,70.8,67.2,54.6,13.6,7.3,6,3,1,64.9
1.7,86.9,75.7,50.8,17.9,6.4,5,2,0,68.3
2.5,76.7,49.2,42.8,14.8,8.6,4,3,0,56.5
9.2,92.7,57.6,62.1,14.8,8.5,5,2,1,74.5
5.6,72.8,66.4,55.6,15.4,7.8,6,1,0,70.4
9.1,91.4,94.6,75.9,18.5,4.0,8,3,0,91.7
2.9,84.5,66.4,59.6,16.1,8.5,9,1,0,72.3
2.2,81.7,83.2,76.2,22.4,7.7,7,1,1,80.7
4.2,86.2,68.5,59.9,14.8,9.0,2,2,1,62.3
2.6,96.3,61.2,54.8,13.4,8.2,7,3,1,65.1
4.7,75.2,64.5,45.4,13.7,8.5,4,2,1,62.7
1.5,79.8,65.6,56.7,13.9,7.8,5,2,1,65.3
1.0,92.1,76.5,43.9,11.3,8.3,6,2,1,61.3
5.0,89.5,87.2,66.0,19.8,9.0,6,2,1,88.1
9.3,69.0,73.0,52.9,14.9,7.0,4,2,1,83.6
5.2,87.1,84.6,54.6,15.3,5.1,7,1,1,76.8
5.5,88.2,54.5,44.9,14.6,6.5,4,2,0,68.3
4.3,85.1,62.2,61.3,12.2,7.2,7,3,0,71.3
4.5,94.5,57.9,57.7,13.0,6.9,10,2,1,68.3
1.6,85.6,72.4,60.4,19.0,5.4,4,1,1,72.9
2.6,95.1,63.0,60.8,11.7,5.0,6,3,1,60.6
7.7,84.1,78.2,62.4,14.4,6.0,3,2,1,83.8
2.1,77.8,55.0,59.2,13.5,7.7,5,3,1,56.1
3.4,93.1,68.6,61.2,17.8,8.5,8,1,1,77.7
7.6,90.0,77.6,51.6,14.2,7.8,8,1,1,87.7
4.5,90.5,39.1,59.1,11.1,8.0,6,2,0,59.8
4.6,93.2,97.7,76.3,22.0,6.7,9,2,1,95.9
3.4,85.8,64.0,51.1,10.6,4.9,10,2,1,66.1
6.0,95.1,39.6,37.7,12.0,6.3,9,2,1,63.6
6.8,81.1,70.2,60.3,17.7,6.5,5,1,0,84.3
2.6,86.3,68.5,57.1,14.8,6.3,4,2,0,66.0
1.7,88.3,66.9,70.5,17.6,6.9,6,2,0,69.8
1.2,90.0,81.9,62.4,20.1,7.3,6,2,1,74.3
5.4,68.3,78.5,50.1,17.6,7.7,6,2,1,72.8
5.1,98.4,72.2,70.7,15.3,6.5,5,2,0,76.9
10.0,88.2,74.3,68.6,14.9,4.7,7,2,1,88.1
4.3,85.4,66.5,58.2,15.1,6.3,8,2,1,72.0
3.9,72.2,92.9,70.0,21.1,6.8,6,2,0,82.1
4.8,89.7,47.3,49.2,11.1,8.1,4,1,1,66.1
4.9,66.3,70.0,54.3,11.4,6.2,7,2,1,63.5
3.7,80.7,68.9,65.7,18.1,7.4,3,3,1,74.5
2.6,81.8,79.4,66.5,17.8,7.1,6,2,1,77.5
4.2,81.9,56.2,49.7,12.6,6.8,6,1,1,64.4
4.1,92.9,43.6,59.7,12.8,7.8,6,3,1,65.2
4.1,88.4,70.2,40.5,18.9,6.1,7,2,0,72.3
6.3,81.9,71.9,74.6,10.7,6.2,7,1,1,77.4
4.1,75.1,88.9,50.0,20.1,6.8,6,2,0,79.4
1.8,76.8,50.2,41.8,9.3,6.1,5,2,0,47.2
2.9,92.9,84.2,66.8,19.3,7.4,7,2,0,76.2
3.7,91.3,100.0,72.6,21.4,6.0,7,2,0,89.3
4.2,83.0,62.7,62.4,15.8,7.0,7,2,1,69.0
5.5,98.7,49.9,45.1,11.3,6.7,5,1,1,61.4
4.3,90.3,62.3,58.6,10.7,7.0,8,2,0,67.6
1.0,85.9,68.2,53.1,14.4,6.3,6,2,1,63.8
1.9,81.8,75.9,62.3,17.6,6.4,6,2,1,77.5
5.7,93.6,59.7,55.8,16.1,6.9,7,1,1,73.3
3.6,85.1,89.8,68.0,17.0,7.0,6,1,1,82.2
4.5,92.0,52.4,48.2,14.7,6.8,7,2,0,67.8
3.4,88.9,43.7,43.6,9.7,8.7,6,3,1,60.2
2.9,93.2,83.5,69.2,18.9,5.7,6,2,1,82.7
3.5,76.5,36.2,47.9,8.7,6.7,6,2,1,47.4
4.5,81.9,65.1,50.3,15.3,5.1,7,1,1,62.6
4.1,79.9,100.0,63.2,23.0,7.2,9,2,1,93.0
6.7,70.4,67.8,57.6,13.1,5.6,7,1,1,70.3
1.5,93.9,52.3,52.9,11.1,6.5,7,3,1,56.1
1.7,83.3,67.2,63.1,15.6,6.4,4,2,1,61.5
3.6,86.1,67.3,50.2,20.1,7.1,10,3,0,78.3
5.5,86.8,70.2,44.7,14.2,6.2,4,2,0,74.4
6.1,94.3,77.3,60.2,21.3,6.1,8,3,0,88.6
2.9,74.4,53.5,41.4,16.8,8.4,6,2,1,63.0
1.0,79.9,91.6,65.8,19.3,7.1,5,1,1,74.0
3.0,83.9,71.4,53.5,15.4,6.2,6,3,0,65.3
5.1,91.1,78.2,69.8,15.9,6.5,7,2,1,84.7
4.1,92.7,59.2,53.5,13.7,8.6,8,3,1,67.4
5.6,83.3,86.0,66.1,15.9,6.5,6,1,1,81.6
7.6,99.2,64.4,61.5,14.8,6.0,6,2,0,80.0
3.8,81.5,71.9,59.6,19.1,6.0,3,2,1,76.7
3.2,78.2,54.9,49.1,11.8,6.2,8,1,1,56.1
2.4,97.4,54.0,59.1,12.4,6.1,5,2,1,63.7
1.7,93.1,77.6,57.9,13.7,5.4,7,2,1,65.8
1.4,94.8,61.8,68.9,14.9,5.6,6,1,1,64.0
2.8,79.2,56.0,48.3,13.7,5.9,5,1,0,45.8
7.0,96.7,59.0,46.5,14.1,7.5,8,2,1,83.0
5.9,83.9,77.8,62.9,16.9,6.4,9,1,0,83.6
3.1,85.1,59.2,46.6,13.2,6.6,6,2,0,58.9
10.0,87.2,66.4,62.7,16.5,8.2,7,1,0,83.4
2.9,74.7,68.2,71.9,15.4,8.2,6,2,0,67.9
7.9,97.8,41.2,43.1,11.4,6.5,8,3,0,72.4
8.9,91.4,47.4,52.8,12.4,6.1,5,2,1,67.7
5.3,73.9,72.7,41.9,18.6,5.8,7,2,1,74.3
2.7,77.9,57.7,54.1,14.9,7.6,7,2,1,69.6
3.3,70.3,82.8,52.3,18.5,6.6,8,3,1,73.0
4.6,83.0,81.5,57.8,20.9,6.4,6,1,0,80.8
1.7,92.8,78.1,55.6,18.0,5.9,7,2,0,79.6
2.3,79.9,93.5,73.1,22.6,6.0,7,2,1,88.0
2.1,88.9,66.8,66.1,16.3,7.2,4,2,1,69.2
5.5,74.4,77.1,58.3,13.5,5.4,8,3,1,77.6
7.5,89.9,59.8,48.3,16.7,7.9,6,3,0,77.0
6.0,68.7,100.0,79.4,21.6,6.2,7,3,1,100.0
6.9,92.8,95.8,66.3,20.5,6.6,7,2,1,94.9
2.6,97.9,68.2,44.2,16.0,5.3,5,1,1,59.2
3.4,91.8,73.4,65.6,15.7,6.8,6,3,0,74.1
3.6,86.8,87.0,57.7,19.3,6.4,7,2,1,78.5
5.3,73.1,65.9,60.6,13.9,6.7,7,1,1,69.9
2.8,96.3,58.8,53.7,16.3,8.4,7,2,1,68.4
6.7,97.9,80.2,71.8,17.5,7.0,8,2,0,93.8
8.8,83.4,69.1,68.6,15.1,5.9,6,2,1,87.5
5.4,76.9,70.6,46.3,14.1,6.0,7,3,0,72.3
3.3,88.1,56.3,48.6,13.8,7.5,8,1,1,64.0
2.5,92.2,44.0,48.2,11.4,8.2,7,1,0,51.5
2.1,90.6,71.3,72.9,16.7,7.1,8,2,0,67.5
1.0,95.6,80.7,61.2,15.5,7.6,8,2,1,72.9
3.6,75.3,64.8,48.1,11.6,7.5,3,1,0,59.8
3.5,84.6,88.1,70.1,20.3,8.4,5,2,0,82.1
6.4,97.5,58.1,52.2,16.7,4.7,7,2,0,73.4
2.9,80.0,53.2,50.4,10.7,7.5,6,3,0,59.0
3.7,82.3,67.1,43.7,18.4,7.9,7,1,1,69.9
